row,col,Well,Flight,Unit,Board,Inhibitor,Supply.I.mA,Time,Parabola,Construct,LED.trigger,Condition,ConversionRate,IntegratedIntensity,RedMeanIntensity,Green_Red_Mean_Intensity,Green_Red_Mean_Intensity_norm_Green_Mean_Intensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV
A,12,A12,3,103,1,Ruthenium Red,591.6,2021-06-17 09:45:11,1,CaMPARI2-F391W,2,Pull-up,0.1029928,289.4589,0.7192928,0.5612003,0.01895355,36.708,36.6995,34.772,1028,8.095,175.6425,1796.91,23801.8375
A,12,A12,3,103,2,GSK2193874,591.6,2021-06-17 09:45:11,1,CaMPARI2-F391W,2,Pull-up,0.1796096,394.8525,0.8091488,0.6088723,0.01922054,36.708,36.6995,34.772,1028,8.095,175.6425,1796.91,23801.8375
A,12,A12,3,104,1,BAPTA,615.915,2021-06-17 09:45:11,1,CaMPARI2-F391W,2,Pull-up,0.1026604,382.2812,0.9219383,0.6666492,0.02115713,36.669,36.65375,34.41075,1072,-4.4475,190.22,1767.5425,23545.6175
A,12,A12,3,104,2,DMSO,615.915,2021-06-17 09:45:11,1,CaMPARI2-F391W,2,Pull-up,0.107477,320.6024,0.8614725,0.6446898,0.01939954,36.669,36.65375,34.41075,1072,-4.4475,190.22,1767.5425,23545.6175
A,2,A2,1,101,1,None,NA,NA,1,GFP,NA,Pre-Parabola,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,2,A2,1,101,2,Gd3+,NA,NA,1,GFP,NA,Pre-Parabola,0.002748558,80.05241,0.6928182,0.4947681,0.007290558,NA,NA,NA,NA,NA,NA,NA,NA
A,2,A2,1,102,1,Thapsigargin,613.2975,2021-06-17 09:41:12,1,GFP,NA,Pre-Parabola,0.005870624,301.9409,0.7549943,0.6162045,0.008176443,36.80775,36.8055,33.92575,1072.99,13.5025,26.9275,1084.1875,23659.0075
A,2,A2,1,102,2,Flunarizine,613.2975,2021-06-17 09:41:12,1,GFP,NA,Pre-Parabola,0,0,0,NA,NA,36.80775,36.8055,33.92575,1072.99,13.5025,26.9275,1084.1875,23659.0075
A,2,A2,1,103,1,Ruthenium Red,594.8775,2021-06-17 09:41:12,1,GFP,NA,Pre-Parabola,0,253.5247,0.5975541,NA,NA,36.79075,36.784,33.26675,1033.175,1.5325,-3.43,1037.6625,23785.8525
A,2,A2,1,103,2,GSK2193874,594.8775,2021-06-17 09:41:12,1,GFP,NA,Pre-Parabola,0.001394052,118.7713,0.6138197,0.4958493,0.006512288,36.79075,36.784,33.26675,1033.175,1.5325,-3.43,1037.6625,23785.8525
A,2,A2,1,104,1,BAPTA,612.205,2021-06-17 09:41:13,1,GFP,NA,Pre-Parabola,0.001639204,488.7256,0.6835657,0.498792,0.005372654,36.756,36.77225,33.092,1064.9975,-10.2825,-3.1325,1045.46,23564.88
A,2,A2,1,104,2,DMSO,612.205,2021-06-17 09:41:13,1,GFP,NA,Pre-Parabola,0.006442662,200.6473,0.6247385,0.5118231,0.006390524,36.756,36.77225,33.092,1064.9975,-10.2825,-3.1325,1045.46,23564.88
A,2,A2,2,101,1,None,599.015,2021-06-17 09:39:02,1,GFP,NA,Pre-Parabola,0.006433484,1715.209,0.799446,3.034791,0.03261497,36.79625,36.78325,33.61925,1024,5.285,48.0725,1016.0275,23753.0775
A,2,A2,2,101,2,Gd3+,599.015,2021-06-17 09:39:02,1,GFP,NA,Pre-Parabola,0.00166245,1144.19,0.6599466,0.4545617,0.005424023,36.79625,36.78325,33.61925,1024,5.285,48.0725,1016.0275,23753.0775
A,2,A2,2,102,1,Thapsigargin,610.3975,2021-06-17 09:39:01,1,GFP,NA,Pre-Parabola,0.0008131183,442.0669,0.7289826,1.107029,0.01278027,36.801,36.798,33.6755,1069.9975,14.7825,69.345,1046.055,23739.3925
A,2,A2,2,102,2,Flunarizine,610.3975,2021-06-17 09:39:01,1,GFP,NA,Pre-Parabola,0.002254721,211.3304,0.6752847,0.454048,0.005362349,36.801,36.798,33.6755,1069.9975,14.7825,69.345,1046.055,23739.3925
A,2,A2,2,103,1,Ruthenium Red,595.8925,2021-06-17 09:39:02,1,GFP,NA,Pre-Parabola,0.001005749,1960.485,0.6386517,0.5872202,0.008427899,36.79175,36.802,33.684,1032,5.785,38.335,1022.71,23721.855
A,2,A2,2,103,2,GSK2193874,595.8925,2021-06-17 09:39:02,1,GFP,NA,Pre-Parabola,0.001344783,1612.889,0.8100504,0.6346836,0.01023724,36.79175,36.802,33.684,1032,5.785,38.335,1022.71,23721.855
A,2,A2,2,104,1,BAPTA,612.9825,2021-06-17 09:39:01,1,GFP,NA,Pre-Parabola,0.001105806,149.8464,0.5868261,0.4538468,0.005981946,36.783,36.79225,33.496,1060,-1.4675,44.035,1014.805,23589.835
A,2,A2,2,104,2,DMSO,612.9825,2021-06-17 09:39:01,1,GFP,NA,Pre-Parabola,0.001592973,1936.762,0.6678237,0.4619681,0.005528896,36.783,36.79225,33.496,1060,-1.4675,44.035,1014.805,23589.835
A,2,A2,3,101,1,None,NA,NA,1,GFP,NA,Pre-Parabola,0.0007791196,2107.43,0.6584625,0.4349196,0.005358811,NA,NA,NA,NA,NA,NA,NA,NA
